SUID,@id,Betweenness,Closeness,Degree,Eigenvector,Information,LAC,name,Network,selected,shared name,stringdb::canonical name,stringdb::full name,Subgragh,
134,stringdb:9606.ENSP00000378733,0,0.05957912,1,0.001690721,1.663313389,0,9606.ENSP00000378733,0,FALSE,9606.ENSP00000378733,Q53QV2,,9.40E+23,0.235335268
291,stringdb:9606.ENSP00000360968,10.02922601,0.059022607,4,4.25E-04,3.304881573,1.5,9606.ENSP00000360968,2.333333333,FALSE,9606.ENSP00000360968,Q8N118,,5.93E+22,0.235224923
285,stringdb:9606.ENSP00000386520,0,0.059360109,1,0.001295179,1.663313389,0,9606.ENSP00000386520,0,FALSE,9606.ENSP00000386520,Q9Y4B4,,5.52E+23,0.233897926
464,stringdb:9606.ENSP00000311492,8.736266641,0.058704726,4,3.46E-04,3.304881573,1.5,9606.ENSP00000311492,2,FALSE,9606.ENSP00000311492,Q2M1V0,,3.93E+22,0.233847085
379,stringdb:9606.ENSP00000269703,2.595067792,0.058974706,3,4.91E-04,2.838053942,0.666666667,9606.ENSP00000269703,1,FALSE,9606.ENSP00000269703,Q6NT55,,7.92E+22,0.233746537
478,stringdb:9606.ENSP00000297792,2.295416381,0.05875219,3,7.49E-04,2.838053942,0,9606.ENSP00000297792,0,FALSE,9606.ENSP00000297792,Q8NB78,,1.84E+23,0.233257768
452,stringdb:9606.ENSP00000334246,0,0.05879973,3,3.55E-04,2.838053942,2,9606.ENSP00000334246,3,FALSE,9606.ENSP00000334246,Q86W10,,4.14E+22,0.232813991
423,stringdb:9606.ENSP00000351947,0,0.059038592,1,0.001156502,1.663313389,0,9606.ENSP00000351947,0,FALSE,9606.ENSP00000351947,Q9H4L7,,4.40E+23,0.232442709
211,stringdb:9606.ENSP00000368079,0,0.05877595,2,3.49E-04,2.297236443,1,9606.ENSP00000368079,2,FALSE,9606.ENSP00000368079,Q6ZWL3,,4.00E+22,0.231468551
395,stringdb:9606.ENSP00000379500,0.712129817,0.058602151,2,5.20E-04,2.297236443,0,9606.ENSP00000379500,0,FALSE,9606.ENSP00000379500,Q8IX04,,8.89E+22,0.231060961
191,stringdb:9606.ENSP00000398803,0,0.058847348,1,6.39E-04,1.663313389,0,9606.ENSP00000398803,0,FALSE,9606.ENSP00000398803,Q13630,,1.34E+23,0.230933292
159,stringdb:9606.ENSP00000352706,3.897227251,0.05862579,2,2.90E-04,2.297236443,0,9606.ENSP00000352706,0,FALSE,9606.ENSP00000352706,Q6NVY1,,2.77E+22,0.230875041
482,stringdb:9606.ENSP00000378360,0,0.058673126,1,4.37E-04,1.663313508,0,9606.ENSP00000378360,0,FALSE,9606.ENSP00000378360,Q3LXA3,,6.28E+22,0.229956355
346,stringdb:9606.ENSP00000283916,2.34245614,0.058141085,2,5.95E-04,2.297236443,0,9606.ENSP00000283916,0,FALSE,9606.ENSP00000283916,O60235,,1.16E+23,0.229411508
295,stringdb:9606.ENSP00000350911,0,0.058515635,1,4.02E-04,1.663313389,0,9606.ENSP00000350911,0,FALSE,9606.ENSP00000350911,P14091,,5.33E+22,0.229292753
91,stringdb:9606.ENSP00000247001,0,0.058492085,1,3.95E-04,1.663313389,0,9606.ENSP00000247001,0,FALSE,9606.ENSP00000247001,Q8IWZ8,,5.14E+22,0.229190731
