"SUID","@id","Betweenness","Closeness","Degree","Eigenvector","Information","LAC","name","Network","selected","shared name","stringdb::canonical name","stringdb::full name","Subgragh"
"161","stringdb:9606.ENSP00000364243","256.7856393644937","0.061227355708467913","17.0","0.009665818884968758","6.297250747680664","9.764705882352942","9606.ENSP00000364243","10.375","false","9606.ENSP00000364243","Q9BZM2",,"3.072175175930606E25"
"162","stringdb:9606.ENSP00000318822","4.143985234237254","0.061313458022781604","18.0","0.020640481263399124","6.414834022521973","15.333333333333334","9606.ENSP00000318822","16.480392156862745","false","9606.ENSP00000318822","P55957",,"1.4009037599676152E26"
"163","stringdb:9606.ENSP00000337446","64.39480051725828","0.059964241507358","6.0","0.0019885634537786245","4.069982528686523","1.3333333333333333","9606.ENSP00000337446","1.65","false","9606.ENSP00000337446","Q14849",,"1.3003119985621028E24"
"164","stringdb:9606.ENSP00000312286","550.6162679308695","0.06225014277555682","41.0","0.03927472606301308","7.861715793609619","17.5609756097561","9606.ENSP00000312286","20.11196717514352","false","9606.ENSP00000312286","P04054",,"5.0721838966556066E26"
"165","stringdb:9606.ENSP00000355893","7.3183984286813395","0.06007992283312664","4.0","0.002083525527268648","3.3048815727233887","0.0","9606.ENSP00000355893","0.0","false","9606.ENSP00000355893","Q6XR72",,"1.427467711305192E24"
"166","stringdb:9606.ENSP00000306245","1841.3495790391637","0.06319756486447312","106.0","0.1198267787694931","8.865163803100586","42.18867924528302","9606.ENSP00000306245","69.78725127366202","false","9606.ENSP00000306245","P01100",,"4.72146126424446E27"
"167","stringdb:9606.ENSP00000364802","236.89991060611","0.0622946135162166","49.0","0.05628100037574768","8.103302001953125","21.46938775510204","9606.ENSP00000364802","24.711304531854356","false","9606.ENSP00000364802","P0DMV8",,"1.041579170987225E27"
"168","stringdb:9606.ENSP00000382595","655.5622122648539","0.06127898805340829","21.0","0.011599116958677769","6.722933292388916","5.0476190476190474","9606.ENSP00000382595","5.610898823398823","false","9606.ENSP00000382595","P22234",,"4.42403466966317E25"
"169","stringdb:9606.ENSP00000309757","450.97871743947803","0.06217912150598973","40.0","0.031054064631462097","7.826151371002197","16.75","9606.ENSP00000309757","21.26310833795503","false","9606.ENSP00000309757","P06858",,"3.171067986442322E26"
"170","stringdb:9606.ENSP00000362508","118.92786179086525","0.060859854829704074","32.0","0.007971367798745632","7.481533527374268","19.4375","9606.ENSP00000362508","21.65618279569893","false","9606.ENSP00000362508","P22310",,"2.0894613177232754E25"
"171","stringdb:9606.ENSP00000360683","143.45371390991096","0.062232372252355124","41.0","0.05262394994497299","7.861715793609619","23.024390243902438","9606.ENSP00000360683","24.63634124496194","false","9606.ENSP00000360683","P18031",,"9.106165852229003E26"
"172","stringdb:9606.ENSP00000363832","1038.1154673387152","0.06134796679330238","36.0","0.007850739173591137","7.668633460998535","13.444444444444445","9606.ENSP00000363832","16.89678462245113","false","9606.ENSP00000363832","Q06278",,"2.026701343867099E25"
"173","stringdb:9606.ENSP00000265171","3688.7476681873004","0.06350131080687445","130.0","0.13379982113838196","9.001174926757812","42.98461538461538","9606.ENSP00000265171","90.82085950886243","false","9606.ENSP00000265171","P01133",,"5.886805839328211E27"
"174","stringdb:9606.ENSP00000308541","1418.7081352971697","0.06263467892544175","54.0","0.055872295051813126","8.223910331726074","20.074074074074073","9606.ENSP00000308541","25.57906219022196","false","9606.ENSP00000308541","Q9UCA1",,"1.0265064839785495E27"
"175","stringdb:9606.ENSP00000373518","4.071405116379652","0.0614344089051712","10.0","0.014715504832565784","5.154873371124268","6.6","9606.ENSP00000373518","7.333333333333334","false","9606.ENSP00000373518","Q96PJ9",,"7.12063920910767E25"
"176","stringdb:9606.ENSP00000354558","2785.8810602827793","0.06351056081573198","122.0","0.1243775486946106","8.9613037109375","41.18032786885246","9606.ENSP00000354558","84.29862212663595","false","9606.ENSP00000354558","P42345",,"5.086893625527888E27"
"177","stringdb:9606.ENSP00000354554","168.5094325393572","0.06117581029886348","14.0","0.0078897038474679","5.887218475341797","4.714285714285714","9606.ENSP00000354554","5.917482517482518","false","9606.ENSP00000354554","Q9B2X7",,"2.0468691691628856E25"
"178","stringdb:9606.ENSP00000282507","0.0","0.002288329519450801","0.0","0.0","0.9099831581115723","0.0","9606.ENSP00000282507","0.0","false","9606.ENSP00000282507","Q3SY77",,"0.999999463558197"
"179","stringdb:9606.ENSP00000222553","1820.2758360842972","0.062125961812482186","41.0","0.03279992938041687","7.861715793609619","12.682926829268293","9606.ENSP00000222553","17.46932055483047","false","9606.ENSP00000222553","P43490",,"3.537646849763419E26"
"180","stringdb:9606.ENSP00000299198","32.15776693257743","0.059449140987182986","9.0","0.0016742435982450843","4.925130844116211","4.0","9606.ENSP00000299198","4.785714285714286","false","9606.ENSP00000299198","P12277",,"9.217347301417265E23"
"181","stringdb:9606.ENSP00000222330","17.223839300002375","0.0614344089051712","16.0","0.01764080300927162","6.170849323272705","7.75","9606.ENSP00000222330","8.266666666666666","false","9606.ENSP00000222330","P49840",,"1.0233056418403675E26"
"182","stringdb:9606.ENSP00000222572","3.0488666088747682","0.05960355434039644","3.0","0.0014788974076509476","2.8380539417266846","0.6666666666666666","9606.ENSP00000222572","1.0","false","9606.ENSP00000222572","Q86YL0",,"7.191918581129988E23"
"183","stringdb:9606.ENSP00000202967","124.25247939616811","0.06175637393767705","22.0","0.020002687349915504","6.813037872314453","13.090909090909092","9606.ENSP00000202967","13.766666666666667","false","9606.ENSP00000202967","Q9Y6E7",,"1.3156651371855384E26"
"184","stringdb:9606.ENSP00000382342","191.2700497413518","0.061800141743444365","19.0","0.012779510580003262","6.524470329284668","6.947368421052632","9606.ENSP00000382342","7.333333333333332","false","9606.ENSP00000382342","Q9UQ99",,"5.370282081848388E25"
"185","stringdb:9606.ENSP00000245552","133.09362892095524","0.06029594800165952","17.0","0.005780000239610672","6.297250270843506","8.941176470588236","9606.ENSP00000245552","10.918818681318683","false","9606.ENSP00000245552","Q8TCD5",,"1.098561486248935E25"
"186","stringdb:9606.ENSP00000332407","11.380077813005624","0.0595221843003413","6.0","8.517772075720131E-4","4.069982528686523","3.0","9606.ENSP00000332407","3.5999999999999996","false","9606.ENSP00000332407","Q8WUS8",,"2.3857267785400812E23"
"187","stringdb:9606.ENSP00000235628","359.24091813510233","0.06007992283312664","16.0","0.0024081708397716284","6.170849323272705","9.125","9606.ENSP00000235628","10.781318681318682","false","9606.ENSP00000235628","Q9BXI3",,"1.9069673327256154E24"
"188","stringdb:9606.ENSP00000343535","43.64560385349675","0.061330707553805035","14.0","0.014537984505295753","5.887218475341797","6.142857142857143","9606.ENSP00000343535","6.615384615384616","false","9606.ENSP00000343535","Q93009",,"6.949876315711535E25"
"189","stringdb:9606.ENSP00000362513","55.97636685825045","0.060665089745373595","22.0","0.006167322397232056","6.813037872314453","9.909090909090908","9606.ENSP00000362513","10.783549783549782","false","9606.ENSP00000362513","P35504",,"1.2507253346406018E25"
"190","stringdb:9606.ENSP00000361423","407.5888130266083","0.0622412562455389","51.0","0.0599520243704319","8.153901100158691","24.54901960784314","9606.ENSP00000361423","28.243302584888447","false","9606.ENSP00000361423","P00519",,"1.1818881316778879E27"
"191","stringdb:9606.ENSP00000398803","0.0","0.05884734782021865","1.0","6.394669180735946E-4","1.663313388824463","0.0","9606.ENSP00000398803","0.0","false","9606.ENSP00000398803","Q13630",,"1.3446363180082922E23"
